web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
White,ARS,DEF,2.7,5.7,15.4,2,53,48.2,229.0,176.2,77.0,92429,17229,7,1,1,9,5,0,0,0,0,0.0,2,0,11,947,0.56,0.82,1.38,9.24,0.0,0.0,Available,1,2,2.7,3.7,5,0,2
Xhaka,ARS,MID,0.0,6.0,0.0,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,5,0,0
Zinchenko,ARS,DEF,3.0,4.9,5.7,1,34,29.0,98.4,143.0,50.0,20330,11367,4,0,0,5,4,0,0,0,0,0.0,1,0,7,573,0.3,0.76,1.06,5.22,0.0,0.0,Available,0,0,3.0,4.0,5,0,0
Raya,ARS,GKP,3.3,4.800000000000001,4.6,2,32,8.5,85.6,0.0,0.0,24250,7443,2,0,0,5,4,8,0,0,0,0.0,0,0,7,630,0.0,0.0,0.0,5.52,0.0,0.0,Available,0,0,3.3,4.3,5,1,0
Rice,ARS,MID,5.7,5.4,5.2,2,44,48.9,254.8,137.0,96.0,19832,13260,5,2,1,8,5,0,0,0,0,0.0,0,0,11,933,0.87,0.71,1.58,8.54,100.0,100.0,Available,0,1,5.7,6.7,5,0,3
Nelson,ARS,MID,0.3,4.9,0.0,0,4,5.3,10.8,32.4,10.0,105,176,0,0,0,0,0,0,0,0,0,0.0,0,0,0,52,0.02,0.14,0.16,0.53,100.0,100.0,Available,0,0,0.3,1.3,5,0,0
J.Timber,ARS,DEF,0.0,4.6000000000000005,0.5,0,0,0.6,3.6,2.4,0.0,37,566,0,0,0,0,0,0,0,0,0,0.0,1,0,1,49,0.0,0.01,0.01,0.28,0.0,0.0,Injured,0,0,0.0,0.0,5,0,0
Hein,ARS,GKP,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,97,131,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,1.0,5,1,0
Alex Moreno,AVL,DEF,0.0,5.0,0.1,0,0,0.0,0.0,0.0,0.0,1376,176,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,50.0,Available,0,0,0.0,0.0,4,0,0
Bailey,AVL,MID,3.7,5.5,1.1,1,34,38.0,149.4,108.1,123.0,1841,4646,3,3,2,6,1,0,0,0,0,0.0,1,0,2,313,1.87,1.26,3.13,6.25,100.0,100.0,Available,0,1,3.7,3.7,4,0,5
Buendia,AVL,MID,0.0,5.7,0.0,0,0,0.0,0.0,0.0,0.0,21,34,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,4,0,0
Cash,AVL,DEF,2.3,5.2,34.0,0,43,55.5,232.2,91.7,230.0,19778,152063,4,2,1,14,3,0,1,0,0,0.0,3,0,11,933,3.27,1.31,4.58,13.63,100.0,0.0,Available,0,1,2.3,2.3,4,0,3
Chambers,AVL,DEF,0.0,3.9000000000000004,1.0,0,0,0.0,0.0,0.0,0.0,1062,1651,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,4,0,0
Coutinho,AVL,MID,0.0,5.800000000000001,0.2,0,2,1.8,4.0,2.8,12.0,0,162,0,0,0,1,0,0,0,0,0,0.0,0,0,0,24,0.15,0.02,0.17,0.68,0.0,0.0,Unavailable,0,0,0.0,0.0,4,0,0
Davis,AVL,FWD,0.0,4.9,0.1,0,0,0.0,0.0,0.0,0.0,0,166,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,4,0,0
Dendoncker,AVL,MID,0.7,4.9,0.0,1,4,0.8,7.4,0.8,0.0,32,65,0,0,0,0,0,0,0,0,0,0.0,0,0,0,7,0.0,0.0,0.0,0.51,100.0,100.0,Available,0,0,0.7,0.7,4,0,0
Diego Carlos,AVL,DEF,0.7,4.4,0.3,1,8,11.5,56.8,13.5,45.0,746,660,0,0,0,6,0,0,0,0,0,0.0,0,0,3,273,0.37,0.03,0.4,4.02,100.0,100.0,Available,0,0,0.7,0.7,4,0,0
Digne,AVL,DEF,1.7,4.7,6.5,1,33,64.8,217.8,356.9,74.0,17252,12245,2,0,3,16,2,0,0,0,0,0.0,4,0,11,980,0.17,2.1,2.27,14.33,0.0,0.0,Available,0,1,1.7,1.7,4,0,3
Douglas Luiz,AVL,MID,8.0,5.6000000000000005,11.7,2,58,69.3,329.2,226.9,137.0,55911,42282,10,5,1,16,2,0,0,0,0,1.0,4,0,11,933,3.21,1.27,4.48,13.97,0.0,0.0,Available,0,2,8.0,8.0,4,0,6
Duran,AVL,FWD,0.0,5.0,0.2,0,15,13.7,72.6,14.2,55.0,157,1676,3,2,0,0,0,0,0,0,0,0.0,2,0,0,68,0.73,0.01,0.74,1.12,100.0,50.0,Available,0,0,0.0,0.0,4,0,2
Hause,AVL,DEF,0.0,4.0,0.2,0,0,0.0,0.0,0.0,0.0,289,399,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,4,0,0
Iroegbunam,AVL,MID,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,51,78,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,Available,0,0,0.0,0.0,4,0,0
Kamara,AVL,MID,1.7,5.0,0.1,1,21,34.6,143.0,188.8,13.0,258,514,1,0,0,15,3,0,0,0,0,0.0,4,0,11,921,0.05,0.53,0.58,13.28,100.0,100.0,Available,0,0,1.7,1.7,4,0,0
Konsa,AVL,DEF,3.0,4.5,1.3,1,30,33.1,199.8,38.3,91.0,5122,2548,2,0,1,16,2,0,0,0,0,0.0,1,0,11,990,0.7,0.26,0.96,14.78,0.0,0.0,Available,0,0,3.0,3.0,4,0,1
Martinez,AVL,GKP,1.3,4.9,7.4,1,27,21.0,209.6,0.0,0.0,5993,14495,3,0,0,15,2,26,1,0,0,0.0,2,0,10,900,0.0,0.0,0.0,14.05,100.0,100.0,Available,0,0,1.3,1.3,4,1,0
McGinn,AVL,MID,5.0,5.5,0.8,2,41,55.5,182.8,245.3,126.0,1975,2924,3,2,2,14,2,0,0,0,0,0.0,2,0,11,927,1.67,1.49,3.16,12.43,0.0,0.0,Available,0,0,5.0,5.0,4,0,4
Mings,AVL,DEF,0.0,4.1000000000000005,1.5,0,0,2.2,3.6,13.0,5.0,138,2406,0,0,0,2,0,0,0,0,0,0.0,0,0,1,30,0.01,0.16,0.17,1.08,0.0,0.0,Injured,0,0,0.0,0.0,4,0,0
Olsen,AVL,GKP,0.0,4.0,0.7,0,2,1.2,12.0,0.0,0.0,431,803,0,0,0,1,0,1,0,0,0,0.0,0,0,1,90,0.0,0.0,0.0,0.73,0.0,0.0,Available,0,0,0.0,0.0,4,1,0
Philogene,AVL,MID,0.0,4.5,0.1,0,1,0.3,0.4,0.3,2.0,0,93,0,0,0,1,0,0,0,0,0,0.0,0,0,0,3,0.0,0.0,0.0,0.65,0.0,0.0,Unavailable,0,0,0.0,0.0,4,0,0
J.Ramsey,AVL,MID,0.0,5.9,0.1,0,7,7.4,43.8,1.6,28.0,24,219,0,1,0,0,0,0,0,0,0,0.0,0,0,0,48,0.19,0.04,0.23,0.73,0.0,0.0,Injured,0,0,0.0,0.0,4,0,1
Sanson,AVL,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,4,0,0
Sinisalo,AVL,GKP,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,4,1,0
Tielemans,AVL,MID,2.0,5.7,0.5,1,14,9.9,40.8,42.1,15.0,310,1137,0,0,1,4,0,0,0,0,0,0.0,0,0,0,191,0.14,0.23,0.37,4.21,0.0,0.0,Available,0,0,2.0,2.0,4,0,1
Bertrand Traoré,AVL,MID,0.3,5.0,0.0,0,2,0.3,3.0,0.0,0.0,46,84,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0.0,0.0,0.0,0.77,100.0,100.0,Available,0,0,0.3,0.3,4,0,0
Watkins,AVL,FWD,5.0,8.4,43.0,2,74,100.7,315.0,227.6,464.0,121070,44051,8,5,8,16,2,0,0,0,0,2.0,0,0,11,950,4.98,1.47,6.45,14.09,0.0,0.0,Available,1,2,5.0,5.0,4,0,13
Wesley,AVL,FWD,0.0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,4,0,0
Pau,AVL,DEF,1.7,4.6000000000000005,3.9,1,36,30.7,190.4,59.6,56.0,12509,8154,4,1,0,14,2,0,0,0,0,0.0,0,0,10,959,0.42,0.28,0.7,13.7,0.0,0.0,Available,0,1,1.7,1.7,4,0,1
Diaby,AVL,MID,5.7,6.800000000000001,14.7,2,59,78.5,226.6,273.3,284.0,28410,44408,5,3,5,15,2,0,0,0,0,0.0,0,0,11,883,2.08,2.08,4.16,12.25,100.0,100.0,Available,0,2,5.7,5.7,4,0,8
Kellyman,AVL,MID,0.0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,139,333,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,4,0,0
Marschall,AVL,GKP,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,54,55,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,4,1,0
Zaniolo,AVL,MID,1.0,5.5,0.1,1,10,29.4,30.4,71.0,196.0,147,357,0,0,0,4,1,0,0,0,0,0.0,2,0,6,421,1.47,0.53,2.0,5.31,0.0,0.0,Available,0,0,1.0,1.0,4,0,0
Zych,AVL,GKP,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,0,102,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,4,1,0
Lenglet,AVL,DEF,0.0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,296,229,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,4,0,0
Anthony,BOU,MID,0.0,4.9,0.0,0,3,3.0,9.0,4.6,16.0,0,92,0,0,0,5,0,0,0,0,0,0.0,1,0,2,151,0.07,0.02,0.09,4.44,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
